区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2149042F5ZZZ,【般】テルミサルタン口腔内崩壊錠４０ｍｇ,テルミサルタン,４０ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149043F1ZZZ,【般】アゼルニジピン錠８ｍｇ,アゼルニジピン,８ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149043F2ZZZ,【般】アゼルニジピン錠１６ｍｇ,アゼルニジピン,１６ｍｇ１錠,"加算1,2",,11.4,,,,
内用薬,2149044F1ZZZ,【般】オルメサルタン錠１０ｍｇ,オルメサルタンメドキソミル,１０ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149044F2ZZZ,【般】オルメサルタン錠２０ｍｇ,オルメサルタンメドキソミル,２０ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149044F3ZZZ,【般】オルメサルタン錠５ｍｇ,オルメサルタンメドキソミル,５ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149044F4ZZZ,【般】オルメサルタン錠４０ｍｇ,オルメサルタンメドキソミル,４０ｍｇ１錠,加算1,,13.4,,,,
内用薬,2149044F5ZZZ,【般】オルメサルタン口腔内崩壊錠１０ｍｇ,オルメサルタンメドキソミル,１０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149044F6ZZZ,【般】オルメサルタン口腔内崩壊錠２０ｍｇ,オルメサルタンメドキソミル,２０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149044F7ZZZ,【般】オルメサルタン口腔内崩壊錠４０ｍｇ,オルメサルタンメドキソミル,４０ｍｇ１錠,"加算1,2",,13.4,,,,
内用薬,2149044F8ZZZ,【般】オルメサルタン口腔内崩壊錠５ｍｇ,オルメサルタンメドキソミル,５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149045F1ZZZ,【般】エプレレノン錠２５ｍｇ,エプレレノン,２５ｍｇ１錠,"加算1,2",,10.9,,,,
